conflict_id,task_id,agents_involved,conflicting_recommendations,arbitration_result,winning_recommendation,arbitration_reason,confidence_score,risk_score,human_review_required
conflict_00028,task_00067,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00029,task_00068,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00030,task_00069,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00031,task_00074,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00032,task_00076,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00033,task_00079,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00034,task_00080,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00035,task_00081,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00036,task_00086,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00037,task_00088,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00038,task_00091,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00039,task_00092,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00040,task_00093,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00041,task_00098,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00042,task_00100,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00043,task_00103,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00044,task_00104,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00045,task_00105,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00046,task_00110,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00047,task_00112,supply_chain_agent|finance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00048,task_00115,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00049,task_00116,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00050,task_00117,metrics_agent|executive_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00051,task_00122,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00052,task_00124,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00053,task_00127,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00054,task_00128,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00055,task_00129,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00056,task_00134,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00057,task_00136,supply_chain_agent|finance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00058,task_00139,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00059,task_00140,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00060,task_00141,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00061,task_00146,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00062,task_00148,supply_chain_agent|finance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00063,task_00151,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00064,task_00152,rag_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00065,task_00153,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00066,task_00158,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00067,task_00160,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00068,task_00163,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00069,task_00164,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00070,task_00165,metrics_agent|executive_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00071,task_00170,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00072,task_00172,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00073,task_00175,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00074,task_00176,rag_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00075,task_00177,metrics_agent|executive_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00076,task_00182,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00077,task_00184,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00078,task_00187,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00079,task_00188,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00080,task_00189,metrics_agent|executive_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
