approval_id,task_id,requested_action,requesting_agent,risk_score,confidence_score,reason,required_approver_role,approval_status,created_at
approval_00029,task_00049,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:49:00
approval_00030,task_00050,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:50:00
approval_00031,task_00051,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:51:00
approval_00032,task_00053,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:53:00
approval_00033,task_00056,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:56:00
approval_00034,task_00057,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:57:00
approval_00035,task_00058,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:58:00
approval_00036,task_00060,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:00:00
approval_00037,task_00061,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:01:00
approval_00038,task_00063,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:03:00
approval_00039,task_00065,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:05:00
approval_00040,task_00069,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:09:00
approval_00041,task_00070,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:10:00
approval_00042,task_00072,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:12:00
approval_00043,task_00073,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:13:00
approval_00044,task_00075,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:15:00
approval_00045,task_00077,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:17:00
approval_00046,task_00081,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:21:00
approval_00047,task_00082,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:22:00
approval_00048,task_00084,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:24:00
approval_00049,task_00085,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:25:00
approval_00050,task_00087,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:27:00
approval_00051,task_00089,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:29:00
approval_00052,task_00093,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:33:00
approval_00053,task_00094,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:34:00
approval_00054,task_00096,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:36:00
approval_00055,task_00097,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:37:00
approval_00056,task_00099,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:39:00
approval_00057,task_00101,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:41:00
approval_00058,task_00105,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:45:00
approval_00059,task_00106,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:46:00
approval_00060,task_00108,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:48:00
approval_00061,task_00109,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:49:00
approval_00062,task_00111,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:51:00
approval_00063,task_00112,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:52:00
approval_00064,task_00113,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:53:00
approval_00065,task_00117,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:57:00
approval_00066,task_00118,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 01:58:00
approval_00067,task_00120,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:00:00
approval_00068,task_00121,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:01:00
approval_00069,task_00122,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:02:00
approval_00070,task_00123,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:03:00
approval_00071,task_00125,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:05:00
approval_00072,task_00129,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:09:00
approval_00073,task_00130,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:10:00
approval_00074,task_00132,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:12:00
approval_00075,task_00133,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:13:00
approval_00076,task_00135,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:15:00
approval_00077,task_00136,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:16:00
approval_00078,task_00137,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:17:00
approval_00079,task_00141,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:21:00
approval_00080,task_00142,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:22:00
approval_00081,task_00144,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:24:00
approval_00082,task_00145,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:25:00
approval_00083,task_00146,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:26:00
approval_00084,task_00147,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:27:00
approval_00085,task_00148,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:28:00
approval_00086,task_00149,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:29:00
approval_00087,task_00152,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:32:00
approval_00088,task_00153,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:33:00
approval_00089,task_00154,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:34:00
approval_00090,task_00156,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:36:00
approval_00091,task_00157,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:37:00
approval_00092,task_00159,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:39:00
approval_00093,task_00161,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:41:00
approval_00094,task_00165,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:45:00
approval_00095,task_00166,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:46:00
approval_00096,task_00168,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:48:00
approval_00097,task_00169,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:49:00
approval_00098,task_00170,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:50:00
approval_00099,task_00171,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:51:00
approval_00100,task_00173,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:53:00
approval_00101,task_00176,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:56:00
approval_00102,task_00177,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:57:00
approval_00103,task_00178,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 02:58:00
approval_00104,task_00180,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:00:00
approval_00105,task_00181,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:01:00
approval_00106,task_00182,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:02:00
approval_00107,task_00183,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:03:00
approval_00108,task_00185,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:05:00
approval_00109,task_00189,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:09:00
approval_00110,task_00190,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:10:00
approval_00111,task_00192,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:12:00
approval_00112,task_00193,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:13:00
approval_00113,task_00194,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:14:00
approval_00114,task_00195,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:15:00
approval_00115,task_00197,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:17:00
approval_00116,task_00200,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:20:00
approval_00117,task_00201,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:21:00
approval_00118,task_00202,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:22:00
approval_00119,task_00204,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:24:00
approval_00120,task_00205,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:25:00
approval_00121,task_00206,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:26:00
approval_00122,task_00207,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:27:00
approval_00123,task_00209,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:29:00
approval_00124,task_00213,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:33:00
approval_00125,task_00214,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:34:00
approval_00126,task_00216,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:36:00
approval_00127,task_00217,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:37:00
approval_00128,task_00218,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:38:00
approval_00129,task_00219,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:39:00
approval_00130,task_00221,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:41:00
approval_00131,task_00225,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:45:00
approval_00132,task_00226,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:46:00
approval_00133,task_00228,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:48:00
approval_00134,task_00229,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:49:00
approval_00135,task_00230,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:50:00
approval_00136,task_00231,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:51:00
approval_00137,task_00232,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:52:00
approval_00138,task_00233,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:53:00
approval_00139,task_00236,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:56:00
approval_00140,task_00237,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:57:00
approval_00141,task_00238,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 03:58:00
approval_00142,task_00240,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:00:00
approval_00143,task_00241,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:01:00
approval_00144,task_00243,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:03:00
approval_00145,task_00245,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:05:00
approval_00146,task_00248,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:08:00
approval_00147,task_00249,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:09:00
approval_00148,task_00250,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:10:00
approval_00149,task_00252,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:12:00
approval_00150,task_00253,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:13:00
approval_00151,task_00254,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:14:00
approval_00152,task_00255,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:15:00
approval_00153,task_00257,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:17:00
approval_00154,task_00260,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:20:00
approval_00155,task_00261,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:21:00
approval_00156,task_00262,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:22:00
approval_00157,task_00264,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:24:00
approval_00158,task_00265,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:25:00
approval_00159,task_00267,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:27:00
approval_00160,task_00269,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:29:00
approval_00161,task_00273,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:33:00
approval_00162,task_00274,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:34:00
approval_00163,task_00276,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:36:00
approval_00164,task_00277,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:37:00
approval_00165,task_00279,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:39:00
approval_00166,task_00281,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:41:00
approval_00167,task_00285,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:45:00
approval_00168,task_00286,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:46:00
approval_00169,task_00288,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:48:00
approval_00170,task_00289,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:49:00
approval_00171,task_00290,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:50:00
approval_00172,task_00291,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:51:00
approval_00173,task_00293,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:53:00
approval_00174,task_00297,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:57:00
approval_00175,task_00298,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 04:58:00
approval_00176,task_00300,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 05:00:00
approval_00177,task_00301,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 05:01:00
approval_00178,task_00303,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 05:03:00
approval_00179,task_00304,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 05:04:00
approval_00180,task_00305,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 05:05:00
