handoff_id,task_id,from_agent,to_agent,handoff_reason,evidence,confidence_score,accepted_flag
handoff_00041,task_00062,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00042,task_00063,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00043,task_00064,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00044,task_00065,healthcare_ops_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic healthcare_ops enterprise workflow requiring governed agent action.,0.84,True
handoff_00045,task_00067,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00046,task_00068,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00047,task_00069,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00048,task_00070,governance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic governance enterprise workflow requiring governed agent action.,0.84,True
handoff_00049,task_00071,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00050,task_00074,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00051,task_00075,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00052,task_00076,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00053,task_00079,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00054,task_00080,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00055,task_00081,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00056,task_00083,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00057,task_00085,finance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic finance enterprise workflow requiring governed agent action.,0.84,True
handoff_00058,task_00086,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00059,task_00087,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00060,task_00088,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00061,task_00090,data_quality_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic data_quality enterprise workflow requiring governed agent action.,0.84,True
handoff_00062,task_00091,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00063,task_00092,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00064,task_00093,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00065,task_00095,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00066,task_00098,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00067,task_00099,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00068,task_00100,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00069,task_00103,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00070,task_00104,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00071,task_00105,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00072,task_00107,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00073,task_00110,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00074,task_00111,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00075,task_00112,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00076,task_00115,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00077,task_00116,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00078,task_00117,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00079,task_00119,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00080,task_00120,executive_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic executive enterprise workflow requiring governed agent action.,0.84,True
handoff_00081,task_00122,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00082,task_00123,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00083,task_00124,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00084,task_00125,healthcare_ops_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic healthcare_ops enterprise workflow requiring governed agent action.,0.84,True
handoff_00085,task_00127,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00086,task_00128,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00087,task_00129,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00088,task_00130,governance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic governance enterprise workflow requiring governed agent action.,0.84,True
handoff_00089,task_00131,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00090,task_00134,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00091,task_00135,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00092,task_00136,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00093,task_00139,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00094,task_00140,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00095,task_00141,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00096,task_00143,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00097,task_00145,finance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic finance enterprise workflow requiring governed agent action.,0.84,True
handoff_00098,task_00146,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00099,task_00147,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00100,task_00148,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00101,task_00150,data_quality_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic data_quality enterprise workflow requiring governed agent action.,0.84,True
handoff_00102,task_00151,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00103,task_00152,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00104,task_00153,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00105,task_00155,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00106,task_00158,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00107,task_00159,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00108,task_00160,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00109,task_00163,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00110,task_00164,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00111,task_00165,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00112,task_00167,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00113,task_00170,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00114,task_00171,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00115,task_00172,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00116,task_00175,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00117,task_00176,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00118,task_00177,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00119,task_00179,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00120,task_00180,executive_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic executive enterprise workflow requiring governed agent action.,0.84,True
handoff_00121,task_00182,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00122,task_00183,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00123,task_00184,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00124,task_00185,healthcare_ops_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic healthcare_ops enterprise workflow requiring governed agent action.,0.84,True
handoff_00125,task_00187,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00126,task_00188,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00127,task_00189,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00128,task_00190,governance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic governance enterprise workflow requiring governed agent action.,0.84,True
handoff_00129,task_00191,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00130,task_00194,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00131,task_00195,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00132,task_00196,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00133,task_00199,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00134,task_00200,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00135,task_00201,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00136,task_00203,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00137,task_00205,finance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic finance enterprise workflow requiring governed agent action.,0.84,True
handoff_00138,task_00206,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00139,task_00207,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00140,task_00208,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00141,task_00210,data_quality_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic data_quality enterprise workflow requiring governed agent action.,0.84,True
handoff_00142,task_00211,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00143,task_00212,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00144,task_00213,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00145,task_00215,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00146,task_00218,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00147,task_00219,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00148,task_00220,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00149,task_00223,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00150,task_00224,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00151,task_00225,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00152,task_00227,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00153,task_00230,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00154,task_00231,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00155,task_00232,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00156,task_00235,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00157,task_00236,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00158,task_00237,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00159,task_00239,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00160,task_00240,executive_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic executive enterprise workflow requiring governed agent action.,0.84,True
handoff_00161,task_00242,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00162,task_00243,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00163,task_00244,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00164,task_00245,healthcare_ops_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic healthcare_ops enterprise workflow requiring governed agent action.,0.84,True
handoff_00165,task_00247,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00166,task_00248,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00167,task_00249,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00168,task_00250,governance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic governance enterprise workflow requiring governed agent action.,0.84,True
handoff_00169,task_00251,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00170,task_00254,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00171,task_00255,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00172,task_00256,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00173,task_00259,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00174,task_00260,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00175,task_00261,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00176,task_00263,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00177,task_00265,finance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic finance enterprise workflow requiring governed agent action.,0.84,True
handoff_00178,task_00266,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00179,task_00267,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00180,task_00268,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00181,task_00270,data_quality_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic data_quality enterprise workflow requiring governed agent action.,0.84,True
handoff_00182,task_00271,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00183,task_00272,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00184,task_00273,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00185,task_00275,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00186,task_00278,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00187,task_00279,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00188,task_00280,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00189,task_00283,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00190,task_00284,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00191,task_00285,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00192,task_00287,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00193,task_00290,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00194,task_00291,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00195,task_00292,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00196,task_00295,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
