tool_id,tool_name,domain,description,required_permission,risk_level,reversible_flag,requires_approval,output_type,cost_estimate,failure_modes
validate_claim_documents,validate_claim_documents,healthcare_ops,Deterministic simulation for validate_claim_documents.,healthcare_ops:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
check_policy_eligibility,check_policy_eligibility,healthcare_ops,Deterministic simulation for check_policy_eligibility.,healthcare_ops:execute,high,False,True,structured_json,0.04,stale_input|policy_denied|low_confidence
route_to_medical_review,route_to_medical_review,healthcare_ops,Deterministic simulation for route_to_medical_review.,healthcare_ops:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
summarize_claim_risk,summarize_claim_risk,healthcare_ops,Deterministic simulation for summarize_claim_risk.,healthcare_ops:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
check_data_quality,check_data_quality,data_platform,Deterministic simulation for check_data_quality.,data_platform:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
validate_data_contract,validate_data_contract,data_platform,Deterministic simulation for validate_data_contract.,data_platform:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
run_root_cause_analysis,run_root_cause_analysis,data_platform,Deterministic simulation for run_root_cause_analysis.,data_platform:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
estimate_blast_radius,estimate_blast_radius,data_platform,Deterministic simulation for estimate_blast_radius.,data_platform:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
simulate_backfill,simulate_backfill,data_platform,Deterministic simulation for simulate_backfill.,data_platform:execute,high,False,True,structured_json,0.1,stale_input|policy_denied|low_confidence
retrieve_documents,retrieve_documents,rag,Deterministic simulation for retrieve_documents.,rag:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
validate_citations,validate_citations,rag,Deterministic simulation for validate_citations.,rag:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
check_document_freshness,check_document_freshness,rag,Deterministic simulation for check_document_freshness.,rag:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
score_hallucination_risk,score_hallucination_risk,rag,Deterministic simulation for score_hallucination_risk.,rag:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
check_metric_definition,check_metric_definition,metrics,Deterministic simulation for check_metric_definition.,metrics:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
compare_metric_versions,compare_metric_versions,metrics,Deterministic simulation for compare_metric_versions.,metrics:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
validate_metric_contract,validate_metric_contract,metrics,Deterministic simulation for validate_metric_contract.,metrics:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
freeze_metric_certification,freeze_metric_certification,metrics,Deterministic simulation for freeze_metric_certification.,metrics:execute,high,False,True,structured_json,0.08,stale_input|policy_denied|low_confidence
check_access_policy,check_access_policy,governance,Deterministic simulation for check_access_policy.,governance:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
detect_prompt_injection,detect_prompt_injection,governance,Deterministic simulation for detect_prompt_injection.,governance:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
detect_tool_misuse,detect_tool_misuse,governance,Deterministic simulation for detect_tool_misuse.,governance:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
create_governance_incident,create_governance_incident,governance,Deterministic simulation for create_governance_incident.,governance:execute,high,False,True,structured_json,0.08,stale_input|policy_denied|low_confidence
request_human_approval,request_human_approval,governance,Deterministic simulation for request_human_approval.,governance:execute,high,False,True,structured_json,0.1,stale_input|policy_denied|low_confidence
generate_executive_briefing,generate_executive_briefing,executive,Deterministic simulation for generate_executive_briefing.,executive:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
summarize_cross_domain_risk,summarize_cross_domain_risk,executive,Deterministic simulation for summarize_cross_domain_risk.,executive:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
rank_decision_options,rank_decision_options,executive,Deterministic simulation for rank_decision_options.,executive:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
